"<track>Tracking 2</track>",Orders,Customers,"New Customers","New Customers Rate",Offers,"Offers Per Order","Initial Cart Gross Product Revenue","Initial Cart Discounts","Initial Cart Rewards","Initial Cart Shipping","Initial Cart Tax","Initial Cart Revenue","Average Initial Cart Revenue",Upsells,"Upsell Rate","Upsells Per Order","Upsell Gross Product Revenue","Upsell Discounts","Upsell Rewards","Upsell Shipping","Upsell Tax","Upsell Revenue","Total Cart Offers","Total Cart Offers Per Order","Total Cart Gross Product Revenue","Total Cart Discounts","Total Cart Rewards","Total Cart Shipping","Total Cart Tax","Total Cart Revenue","Total Average Cart Revenue",Subscriptions,Active,"Retention Rate","First Renewals","First Renewal Rate","Average Renewal Cycle","Renewal Revenue","Average Renewal Revenue","Total Offers and Renewals","Total Revenue","Average Total Revenue","Average Total Revenue Per Customer",Adjustments,"Adjustment Rate",Refunds,"Offer Refund Rate","Refunded Revenue","Refunded Revenue Rate",Voids,"Offer Void Rate","Voided Revenue","Void Revenue Rate",Chargebacks,"Offer Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Offer Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Average Net Revenue Per Customer","Cost of Revenue","Cost of Goods Sold","Ad Spend","Ad Spend Rate","Chargeback Fees","Chargeback Fees Rate","Alert Fees","Alert Fees Rate","Processing Fees","Processing Fees Rate",Profit,"Profit Margin","Profit Per Order","Profit Per Customer","Tax Collected","Gift Cards Applied",Processed
"Stetson Cowboy Hat Brown",1,1,0,0.00%,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,1,1,100.00%,0,0.00%,0.00,$0.00,$0.00,1,$47.84,$47.84,$47.84,$47.84,100.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,100.00%,$47.84,100.00%,$0.00,$0.00,$2.59,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$2.59,5.41%,$-2.59,-5.41%,$-2.59,$-2.59,$0.00,$0.00,$47.84
"Stetson Skyline 6X Cowboy Hat",66,53,53,80.30%,66,1.00,"$1,329.33",$0.00,$0.00,$0.00,$0.00,"$1,329.33",$20.14,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,66,1.00,"$1,329.33",$0.00,$0.00,$0.00,$0.00,"$1,329.33",$20.14,66,28,42.42%,15,22.73%,0.23,"$1,483.35","$1,483.35",81,"$2,812.68",$42.62,$53.07,$285.12,10.14%,2,2.47%,$68.39,2.43%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,3.70%,$216.73,7.71%,"$2,527.56",$47.69,$151.39,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$151.39,5.38%,"$2,376.17",84.48%,$36.00,$44.83,$0.00,$0.00,"$2,812.68"
"Stihl GTA 26 Mini Chainsaw",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,0,0.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$12.89,50.00%,0,0.00%,$0.00,0.00%,1,50.00%,$12.89,50.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$6.45,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$11.21,43.48%,$5.61,$5.61,$0.00,$0.00,$25.78
"Stihl ZeroTurn Lawn Mower",65,64,63,96.92%,65,1.00,$897.04,$0.00,$0.00,$0.00,$0.00,$897.04,$13.80,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,65,1.00,$897.04,$0.00,$0.00,$0.00,$0.00,$897.04,$13.80,65,20,30.77%,16,24.62%,0.25,"$1,582.24","$1,582.24",81,"$2,479.28",$38.14,$38.74,$124.67,5.03%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,3.70%,$124.67,5.03%,"$2,354.61",$36.79,$134.69,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$134.69,5.43%,"$2,219.92",89.54%,$34.15,$34.69,$0.00,$0.00,"$2,479.28"
"Sunseeker Robot Mower",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,1,50.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$12.89,50.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,50.00%,$12.89,50.00%,$12.89,$6.45,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$11.21,43.48%,$5.61,$5.61,$0.00,$0.00,$25.78
"TaylorMade SIM2 Max Driver",4,4,3,75.00%,4,1.00,$98.63,$0.00,$0.00,$0.00,$0.00,$98.63,$24.66,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4,1.00,$98.63,$0.00,$0.00,$0.00,$0.00,$98.63,$24.66,4,2,50.00%,1,25.00%,0.25,$98.89,$98.89,5,$197.52,$49.38,$49.38,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$197.52,$49.38,$5.73,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.73,2.90%,$191.79,97.10%,$47.95,$47.95,$0.00,$0.00,$197.52
"Tito Tailgate Bundle",1,1,0,0.00%,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,1,1,100.00%,0,0.00%,0.00,$0.00,$0.00,1,$47.84,$47.84,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$47.84,$47.84,$2.59,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$2.59,5.41%,$45.25,94.59%,$45.25,$45.25,$0.00,$0.00,$47.84
"Tito's Black Jersey",1,1,0,0.00%,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$47.84,$0.00,$0.00,$0.00,$0.00,$47.84,$47.84,1,1,100.00%,0,0.00%,0.00,$0.00,$0.00,1,$47.84,$47.84,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$47.84,$47.84,$2.59,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$2.59,5.41%,$45.25,94.59%,$45.25,$45.25,$0.00,$0.00,$47.84
"Toro Zero Turn Lawnmower",61,61,60,98.36%,61,1.00,$828.71,$0.00,$0.00,$0.00,$0.00,$828.71,$13.59,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,61,1.00,$828.71,$0.00,$0.00,$0.00,$0.00,$828.71,$13.59,61,14,22.95%,10,16.39%,0.16,$908.96,$908.96,71,"$1,737.67",$28.49,$28.49,$51.56,2.97%,1,1.41%,$12.89,0.74%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,3,4.23%,$38.67,2.23%,"$1,686.11",$27.64,$80.26,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$80.26,4.62%,"$1,605.85",92.41%,$26.33,$26.33,$0.00,$0.00,"$1,737.67"
"US General Purple Tool Cart",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,1,100.00%,1,100.00%,1.00,$98.89,$98.89,2,$111.78,$111.78,$111.78,$98.89,88.47%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,50.00%,$98.89,88.47%,$12.89,$12.89,$5.98,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.98,5.35%,$6.91,6.18%,$6.91,$6.91,$0.00,$0.00,$111.78
"Vevor Garden Dump Cart",140,137,135,96.43%,140,1.00,"$2,011.06",$0.00,$0.00,$0.00,$0.00,"$2,011.06",$14.36,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,140,1.00,"$2,011.06",$0.00,$0.00,$0.00,$0.00,"$2,011.06",$14.36,140,49,35.00%,43,30.71%,0.31,"$4,252.27","$4,252.27",183,"$6,263.33",$44.74,$45.72,$743.30,11.87%,3,1.64%,$161.22,2.57%,3,1.64%,$38.67,0.62%,1,0.55%,$12.89,0.21%,14,7.65%,$530.52,8.47%,"$5,520.03",$40.29,$343.33,$0.00,$0.00,0.00%,$20.00,0.32%,$0.00,0.00%,$323.33,5.16%,"$5,176.70",82.65%,$36.98,$37.79,$0.00,$0.00,"$6,263.33"
"Wiha Heavy Duty Tool Backpack",2,2,2,100.00%,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$25.78,$0.00,$0.00,$0.00,$0.00,$25.78,$12.89,2,0,0.00%,0,0.00%,0.00,$0.00,$0.00,2,$25.78,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$25.78,$12.89,$1.68,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.68,6.52%,$24.10,93.48%,$12.05,$12.05,$0.00,$0.00,$25.78
"Wiha Tool Backpack",26,24,24,92.31%,26,1.00,$417.16,$0.00,$0.00,$0.00,$0.00,$417.16,$16.04,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26,1.00,$417.16,$0.00,$0.00,$0.00,$0.00,$417.16,$16.04,26,8,30.77%,6,23.08%,0.23,$593.34,$593.34,32,"$1,010.50",$38.87,$42.10,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$1,010.50",$42.10,$56.80,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$56.80,5.62%,$953.70,94.38%,$36.68,$39.74,$0.00,$0.00,"$1,010.50"
"YETI Tundra Cooler",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Yamaha Custom Standard Drums Set",3,3,0,0.00%,3,1.00,$143.52,$0.00,$0.00,$0.00,$0.00,$143.52,$47.84,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$143.52,$0.00,$0.00,$0.00,$0.00,$143.52,$47.84,3,3,100.00%,0,0.00%,0.00,$0.00,$0.00,3,$143.52,$47.84,$47.84,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$143.52,$47.84,$7.77,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$7.77,5.41%,$135.75,94.59%,$45.25,$45.25,$0.00,$0.00,$143.52
"Yamaha Hybrid Drum Set",11,9,6,54.55%,11,1.00,$322.60,$0.00,$0.00,$0.00,$0.00,$322.60,$29.33,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11,1.00,$322.60,$0.00,$0.00,$0.00,$0.00,$322.60,$29.33,11,7,63.64%,2,18.18%,0.18,$197.78,$197.78,13,$520.38,$47.31,$57.82,$146.73,28.20%,1,7.69%,$98.89,19.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,7.69%,$47.84,9.19%,$373.65,$41.52,$28.58,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$28.58,5.49%,$345.07,66.31%,$31.37,$38.34,$0.00,$0.00,$520.38
"Yeti Patriot Tundra Hard Cooler",1,1,1,100.00%,1,1.00,$18.95,$0.00,$0.00,$0.00,$0.00,$18.95,$18.95,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$18.95,$0.00,$0.00,$0.00,$0.00,$18.95,$18.95,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$18.95,$18.95,$18.95,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$18.95,$18.95,$1.15,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$1.15,6.07%,$17.80,93.93%,$17.80,$17.80,$0.00,$0.00,$18.95
"iPad 13 Pro 2022",10,9,9,90.00%,10,1.00,$169.91,$0.00,$0.00,$0.00,$0.00,$169.91,$16.99,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10,1.00,$169.91,$0.00,$0.00,$0.00,$0.00,$169.91,$16.99,10,2,20.00%,1,10.00%,0.10,$98.89,$98.89,11,$268.80,$26.88,$29.87,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$268.80,$29.87,$15.60,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$15.60,5.80%,$253.20,94.20%,$25.32,$28.13,$0.00,$0.00,$268.80
